1|KS A 0516|소용돌이 유량계에 의한 유량 측정 방법 (폐지)|2003-12-11|2003-1571||김세진|
54|KS B 0110|왕복동 내연기관 용어 ( 주요 부품 ) (폐지)|2003-04-22|2003-0360|기계융합산업표준과|정지훈|
55|KS B 0111|왕복동 내연기관 용어 ( 부속 장치 ) (폐지)|2003-04-22|2003-0360|기계융합산업표준과|정지훈|
56|KS B 0112|사무 기계 — 용어|2020-12-29|2020-0572|기계융합산업표준과|김민우|
57|KS B 0113|수차 및 펌프 수차 용어|2021-12-24|2021-0631|기계융합산업표준과|이경희|
58|KS B 0114|공작 기계(부품 . 공작 방법) 용어 (폐지)|2012-11-20|2012-0626|기계융합산업표준과|정지훈|
59|KS B 0115|왕복 내연 기관 용어(일반) (폐지)|2013-12-26||기계융합산업표준과|정지훈|
60|KS B 0116|공업용 연소 장치 용어|2021-09-15|2021-0349|기계융합산업표준과|정지훈|
61|KS B 0117|목재 가공 기계의 명칭에 관한 용어|2020-08-21|2020-50|목재산업연구과|유선화|
62|KS B 0118|패킹 및 가스킷 용어|2020-11-24|2020-0393|기계융합산업표준과|양동학|
63|KS B 0119|유압 용어 (폐지)|1996-12-23||기계융합산업표준과|양승배|
64|KS B 0120|유압 및 공기압 용어|2018-06-08|2018-0163|기계융합산업표준과|이경희|
65|KS B 0121|철강제 관 이음 용어|2021-09-03|2021-0306|기계융합산업표준과|양동학|
66|KS B 0122|클러치 및 브레이크 용어 (폐지)|2013-12-26||기계융합산업표준과|양승배|
67|KS B 0125|수치 제어 공작기계 — 용어|2020-11-17|2020-0373|기계융합산업표준과|정지훈|
68|KS B 0126|수치 제어 공작 기계의 좌표축과 운동 기호 (폐지)|2006-12-27|2006-0864|기계융합산업표준과|정지훈|
69|KS B 0127|크레인 용어(종류) (폐지)|2002-08-24|2002-0906|기계융합산업표준과|양승배|
70|KS B 0128|크레인 용어(성능 및 구조) (폐지)|2002-08-24|2002-0906|기계융합산업표준과|양승배|
71|KS B 0130|복사기 용어|2020-12-29|2020-0572|기계융합산업표준과|김민우|
72|KS B 0134|금전 등록기 용어|2020-12-29|2020-0572|기계융합산업표준과|김민우|
73|KS B 0135|컨베이어 용어 ( 부품 및 부속기기 )|2019-12-31|2019-0593|기계융합산업표준과|양동학|
74|KS B 0136|기계 진동·충격 용어 (폐지)|2013-12-03|2013-0663|기계융합산업표준과|김민우|
75|KS B 0139|단조 용어|2019-12-13|2019-0470|기계융합산업표준과|김민우|
76|KS B 0140|나사의 조임 통칙|2021-09-03|2021-0306|기계융합산업표준과|양동학|
77|KS B 0142|회전 속도 10-200 REV/S 운전되는 기계의 진동평가 기준의 기본사항 (폐지)|2002-09-28|2002-1153|기계융합산업표준과|김민우|
78|KS B 0143|나사 부품의 조임 시험방법|2021-09-03|2021-0306|기계융합산업표준과|양동학|
79|KS B 0144|평와셔의 공차 방식|2021-09-03|2021-0306|기계융합산업표준과|양동학|
80|KS B 0145|비철 금속 파스너의 기계적 성질|2021-09-03|2021-0306|기계융합산업표준과|양동학|
81|KS B 0146|보통 공차 - 제2부 : 개별적인 공차의 지시가 없는 형체에 대한 기하 공차 (폐지)|2006-12-29|2006-0907|기계융합산업표준과|김민우|
82|KS B 0147|제도 - 공차 표시방식의 기본 원칙 (폐지)|2006-12-29|2006-0907|기계융합산업표준과|김민우|
83|KS B 0148|제도 - 기하공차 표시 방식의 - 위치도 공차 방식 (폐지)|2006-12-29|2006-0907|기계융합산업표준과|김민우|
84|KS B 0161|표면 거칠기 정의 및 표시 (폐지)|2014-11-25|2014-0761|기계융합산업표준과|김민우|
85|KS B 0162|표면 거칠기-용어 제1부 : 표면 및 거칠기 매개변수 (폐지)|2013-12-23|2013-0027|기계융합산업표준과|김민우|
86|KS B 0163|공업프로세스 계측제어 용어|2018-10-31|2018-0402|기계융합산업표준과|김낙현|
87|KS B 0200|나사의 표시 방법|2019-11-22|2019-0382|기계융합산업표준과|양동학|
88|KS B 0201|미터 보통 나사|2021-09-03|2021-0306|기계융합산업표준과|양동학|
89|KS B 0202|0 트워어스 보통 나사 (폐지)|1971-04-03||기계융합산업표준과|양승배|
90|KS B 0203|유니파이 보통 나사|2020-11-24|2020-0393|기계융합산업표준과|양동학|
91|KS B 0204|미터 가는나사|2021-09-03|2021-0306|기계융합산업표준과|양동학|
92|KS B 0205|위트워어스 가는나사 (폐지)|1971-04-03||기계융합산업표준과|양승배|
93|KS B 0206|유니파이 가는 나사|2020-11-24|2020-0393|기계융합산업표준과|양동학|
94|KS B 0211|미터 보통 나사의 허용 한계 치수 및 공차|2017-11-10|2017-0506|기계융합산업표준과|양동학|
95|KS B 0212|위트워어스 보통 나사의 치수차 및 공차 (폐지)|1971-04-03||기계융합산업표준과|양승배|
96|KS B 0213|유니파이 보통나사의 허용 한계 치수 및 공차|2017-08-28|2017-0314|기계융합산업표준과|양동학|
97|KS B 0214|미터 가는 나사의 허용 한계 치수 및 공차|2017-04-28|2017-0092|기계융합산업표준과|양동학|
98|KS B 0215|위트워어스 가는 나사의 치수차 및 공차 (폐지)|1971-04-03||기계융합산업표준과|양승배|
99|KS B 0216|유니파이 가는 나사의 허용 한계 치수 및 공차|2020-11-24|2020-0393|기계융합산업표준과|양동학|
100|KS B 0219|미터 사다리꼴 나사 허용 한계 및 치수 및 공차|2018-12-27|2018-0568|기계융합산업표준과|양동학|
101|KS B 0220|나사용 한계 게이지의 모양 . 치수|2017-11-10|2017-0506|기계융합산업표준과|양동학|
102|KS B 0221|관용 평행 나사|2019-11-22|2019-0382|기계융합산업표준과|양동학|
103|KS B 0222|관용 테이퍼 나사|2017-11-10|2017-0506|기계융합산업표준과|양동학|
104|KS B 0223|전선관 나사 (폐지)|2013-12-23||기계융합산업표준과|양승배|
105|KS B 0224|자전거 나사 (폐지)|2013-12-23||기계융합산업표준과|정지훈|
106|KS B 0225|미싱 나사 (폐지)|2013-12-18|2013-0731|기계융합산업표준과|양승배|
107|KS B 0226|29° 사다리꼴 나사|2017-08-28|2017-0314|기계융합산업표준과|양동학|
108|KS B 0227|30도 사다리꼴 나사 (폐지)|1992-12-31||기계융합산업표준과|양승배|
109|KS B 0228|미니어처 나사 (폐지)|2013-12-23||기계융합산업표준과|양승배|
110|KS B 0229|미터 사다리꼴 나사|2019-11-22|2019-0382|기계융합산업표준과|양동학|
111|KS B 0230|나사용 + 자홈|2017-11-10|2017-0506|기계융합산업표준과|양동학|
112|KS B 0231|나사끝의 모양·치수|2017-11-10|2017-0506|기계융합산업표준과|양동학|
113|KS B 0232|맞변끼리의 치수 (폐지)|1978-11-15||기계융합산업표준과|양승배|
114|KS B 0233|강제볼트 작은나사의 기계적 성질|2020-11-24|2020-0393|기계융합산업표준과|양동학|
115|KS B 0234|강제 너트의 기계적 성질|2020-11-24|2020-0393|기계융합산업표준과|양동학|
116|KS B 0235|미터 나사의 공차 방식|2020-11-24|2020-0393|기계융합산업표준과|양동학|
117|KS B 0236|치수의 보통 허용 공차 통칙 (폐지)|1989-04-01||기계융합산업표준과|양승배|
118|KS B 0237|미터 사다리꼴 나사 공차 방식|2018-12-27|2018-0568|기계융합산업표준과|양동학|
119|KS B 0238|파스너의 공차 방식|2021-09-03|2021-0306|기계융합산업표준과|양동학|
120|KS B 0239|파스너의 정밀도 측정 방법|2021-12-23|2021-0623|기계융합산업표준과|양동학|
121|KS B 0240|강제 멈춤나사의 기계적 성질|2021-09-03|2021-0306|기계융합산업표준과|양동학|
122|KS B 0241|내식 스테인리스 강제 파스너의 기계적 성질|2021-09-03|2021-0306|기계융합산업표준과|양동학|
123|KS B 0242|최대 공차 실체 방식 (폐지)|2008-06-03|2008-0252|기계융합산업표준과|김민우|
124|KS B 0243|기하학적 공차를 위한 데이텀 및 데이텀 시스템 (폐지)|2018-06-25|2018-0172|기계융합산업표준과|양동학|
125|KS B 0244|수나사 부품의 머리밑 둥글기 (폐지)|2013-12-23||기계융합산업표준과|양승배|
126|KS B 0245|수나사 부품의 불완전 나사부 길이 및 나사의 틈새|2017-11-10|2017-0506|기계융합산업표준과|양동학|
127|KS B 0246|나사 부품 각 부의 치수의 호칭 및 기호|2017-11-10|2017-0506|기계융합산업표준과|양동학|
128|KS B 0248|태핑 스크루의 나사부|2018-12-27|2018-0568|기계융합산업표준과|양동학|
129|KS B 0249|나사의 유효 단면적 및 자리면의 부하 면적|2018-12-27|2018-0568|기계융합산업표준과|양동학|
130|KS B 0250|주조품 치수 공차 및 절삭여유 방식|2020-11-24|2020-0393|기계융합산업표준과|양동학|
131|KS B 0251|강제 및 스테인리스 강제 태핑 스크루의 기계적 성질|2019-11-22|2019-0382|기계융합산업표준과|양동학|
132|KS B 0252|관 플랜지의 계산 기준|2017-09-13|2017-0352|기계융합산업표준과|양동학|
133|KS B 0253|전체면 개스킷붙이 알루미늄 합금제 파이프 플랜지의 계산 기준 (폐지)|2013-12-12|2013-0692|기계융합산업표준과|양동학|
134|KS B 0254|알루미늄합금제 관 플랜지의 기준 치수 (폐지)|2013-12-12|2013-0692|기계융합산업표준과|양동학|
135|KS B 0255|알루미늄합금제 관 플랜지의 계산 기준 (폐지)|2013-12-12|2013-0692|기계융합산업표준과|양동학|
136|KS B 0256|진동 및 충격 픽업의 교정방법-기초개념 (폐지)|2002-09-28|2002-1153|기계융합산업표준과|김민우|
137|KS B 0264|나사 측정용 3침 (폐지)|2013-12-18|2013-0731|기계융합산업표준과|양승배|
138|KS B 0399|원뿔 끼워맞춤|2020-12-31|2020-0596|기계융합산업표준과|김민우|
139|KS B 0401|치수공차의 한계 및 끼워 맞춤|2019-12-24|2019-0519|기계융합산업표준과|김민우|
140|KS B 0402|한계 게이지 ( 공차 치수차 및 마모 허용치 ) (폐지)|1971-04-03||기계융합산업표준과|양승배|
141|KS B 0403|절삭 가공품의 둥글기 및 모떼기|2019-12-24|2019-0519|기계융합산업표준과|김민우|
142|KS B 0404|단조(열간 및 온간)품의 코너 및 필릿의 반지름|2019-12-24|2019-0519|기계융합산업표준과|김민우|
143|KS B 0405|주조품의 둥글기|2020-12-31|2020-0596|기계융합산업표준과|김민우|
144|KS B 0406|축의 지름|2020-11-24|2020-0393|기계융합산업표준과|양동학|
145|KS B 0407|회전축의 높이 (폐지)|2008-06-03|2008-0252|기계융합산업표준과|양승배|
146|KS B 0408|1/10 원추축 끝 (폐지)|2013-12-18|2013-0731|기계융합산업표준과|양승배|
147|KS B 0409|보울트 구멍 지름 및 자리파기 지름 (폐지)|1980-04-19||기계융합산업표준과|양승배|
148|KS B 0410|센터 구멍|2020-12-29|2020-0574|기계융합산업표준과|김민우|
149|KS B 0411|주철품 보통 허용차 (폐지)|1996-12-31||기계융합산업표준과|이승훈|
150|KS B 0412|보통 공차-제1부:개별적인 공차의 지시가 없는 길이 치수 및각도 치수에 대한 공차 (폐지)|2006-12-29|2006-0907|기계융합산업표준과|김민우|
151|KS B 0413|판재의 프레스 가공품 일반치수 공차|2019-12-24|2019-0519|기계융합산업표준과|김민우|
152|KS B 0414|단조 가공 치수차 (폐지)|1980-05-07||기계융합산업표준과|양승배|
153|KS B 0415|보통 치수 허용차 ( 다이캐스팅 ) (폐지)|1989-04-01||기계융합산업표준과|양승배|
154|KS B 0416|금속판 셰어링 보통 허용차|2019-12-24|2019-0519|기계융합산업표준과|김민우|
155|KS B 0417|금속 소결품 보통 허용차|2019-12-24|2019-0519|기계융합산업표준과|김민우|
156|KS B 0418|주강품 보통 허용차|2019-12-24|2019-0519|기계융합산업표준과|김민우|
157|KS B 0419|원뿔 테이퍼 (폐지)|2014-11-25|2014-0761|기계융합산업표준과|김민우|
158|KS B 0420|중심 거리의 허용차|2020-12-29|2020-0572|기계융합산업표준과|김민우|
159|KS B 0421|평행 나사 게이지의 검사 방법|2020-11-24|2020-0393|기계융합산업표준과|양동학|
160|KS B 0422|테이퍼 나사 게이지의 검사 방법|2021-09-03|2021-0306|기계융합산업표준과|양동학|
161|KS B 0423|쉘주형 주철품 보통 허용차 (폐지)|1989-04-01||기계융합산업표준과|이승훈|
162|KS B 0424|알루미늄 합금 주물 보통 허용차 (폐지)|1996-12-31||기계융합산업표준과|윤종식|
163|KS B 0425|기하 편차의 정의 및 표시 (폐지)|2018-06-25|2018-0172|기계융합산업표준과|양동학|
164|KS B 0426|강의 열간 형 단조품 허용차(해머 및 프레스 가공)|2019-12-24|2019-0519|기계융합산업표준과|김민우|
165|KS B 0427|강의 열간 형 단조품 공차(업셋 가공)|2019-12-24|2019-0519|기계융합산업표준과|김민우|
166|KS B 0428|가스 절단 가공 강판의 일반 공차|2020-12-31|2020-0596|기계융합산업표준과|김민우|
167|KS B 0429|주철제 플랜지 (폐지)|2013-12-12|2013-0692|기계융합산업표준과|양동학|
168|KS B 0431|연삭 숫돌 선택 기준|2017-12-27|2017-0646|기계융합산업표준과|김민우|
169|KS B 0432|연삭 여유 (폐지)|2013-12-27|2013-0056|기계융합산업표준과|양승배|
170|KS B 0433|절삭 다듬질 여유|2017-05-15|2017-0121|기계융합산업표준과|김민우|
171|KS B 0434|원추형 컵 시험 방법|2020-12-31|2020-0596|기계융합산업표준과|김민우|
172|KS B 0435|자유 단조품의 기계 가공 여유|2021-08-31|2021-0299|기계융합산업표준과|김민우|
173|KS B 0500|철강 제품의 표면 가공 표준|2018-10-31|2018-0403|기계융합산업표준과|김민우|
174|KS B 0501|촉침식 표면 거칠기 측정기|2021-12-15|2021-0593|기계융합산업표준과|김민우|
175|KS B 0502|표면 거칠기 측정기 ( 평균 거칠기 표시식 ) (폐지)|1976-05-04||기계융합산업표준과|김민우|
176|KS B 0503|표면 거칠기 측정기 ( 광절단식 ) (폐지)|1976-05-04||기계융합산업표준과|김민우|
177|KS B 0504|표면 거칠기 측정기 (NF 거칠기식 ) (폐지)|1975-08-27||기계융합산업표준과|김민우|
178|KS B 0505|표면 거칠기 측정기 ( 전기 용량식 ) (폐지)|1975-08-27||기계융합산업표준과|김민우|
179|KS B 0506|광파 간섭식 표면 거칠기 측정기|2021-08-31|2021-0299|기계융합산업표준과|김민우|
180|KS B 0507|비교 표면 거칠기 표준편 (폐지)|2016-12-07|2016-0477|기계융합산업표준과|김민우|
181|KS B 0508|용착금속의 화학분석용 시료의 제작 방법 (폐지)|2003-03-21|2003-0207|기계융합산업표준과|윤승환|
182|KS B 0509|경납땜 이음의 가스 부식 시험 방법 (폐지)|2001-10-30|2001-0674|기계융합산업표준과|양승배|
183|KS B 0510|경납땜 이음의 습식 부식 시험 방법 (폐지)|2001-10-30|2001-0674|기계융합산업표준과|양승배|
184|KS B 0511|반자동 아크 용접 작업 표준 (폐지)|2013-12-18|2013-0731|기계융합산업표준과|양동학|
185|KS B 0512|소모 노즐식 일렉트로슬래그 용접 작업 표준|2019-12-31|2019-0595|기계융합산업표준과|양동학|
186|KS B 0513|스테인리스강 용접기술 검정에 대한 시험방법 및 판정기준 (폐지)|2013-12-18|2013-0731|기계융합산업표준과|양동학|
187|KS B 0514|플라스틱 용접기술 검정에 대한 시험 방법 및 판정 기준 (폐지)|2013-12-18|2013-0731|기계융합산업표준과|양동학|
188|KS B 0515|반자동 용접 기술 검정에 대한 시험 방법 및 판정 기준 (폐지)|2013-12-18|2013-0731|기계융합산업표준과|양동학|
189|KS B 0516|기계용 프리즘 각도 및 프리즘구배 (폐지)|2000-07-01||기계융합산업표준과|김민우|
190|KS B 0517|진동 및 충격 픽업의 교정 방법 - 기본개념 (폐지)|2002-09-28|2002-1153|기계융합산업표준과|김민우|
191|KS B 0518|철근 콘크리트용 봉강의 가스 압접 기술 검정에 대한 시험방법 및 판정 기준 (폐지)|2013-12-18|2013-0731|기계융합산업표준과|양동학|
192|KS B 0519|용접 시공 방법의 확인 시험 방법 (폐지)|2004-04-16|2004-0125|기계융합산업표준과|양승배|
193|KS B 0520|니켈 및 니켈함금 클래드강 용접 시공 방법의 확인 시험 방법|2019-12-31|2019-0595|기계융합산업표준과|양동학|
194|KS B 0521|알루미늄 관 용접부의초음파 경사각 탐상 시험 방법 (폐지)|2013-12-12|2013-0692|기계융합산업표준과|양동학|
195|KS B 0522|알루미늄의 T형 용접부의초음파 탐상 시험 방법 (폐지)|2013-12-12|2013-0692|기계융합산업표준과|양동학|
196|KS B 0523|용접 열영향부의 테이퍼 경도 시험방법|2019-12-31|2019-0595|기계융합산업표준과|양동학|
197|KS B 0524|용접－오스테나이트계 및 2상 페라이트－오스테나이트 Cr-Ni 스테인리스강용접 금속의 페라이트 번호(FN) 결정|2017-09-19|2017-0377|기계융합산업표준과|양동학|
198|KS B 0525|맞대기용접 이음의 광폭 인장 시험 방법 (폐지)|2004-04-16|2004-0125|기계융합산업표준과|양승배|
199|KS B 0526|용접 이음의 충격 시험 방법 (폐지)|2004-04-16|2004-0125|기계융합산업표준과|양승배|
200|KS B 0527|필릿 용접부의 이면 굽힘 시험방법|2019-12-31|2019-0595|기계융합산업표준과|양동학|
201|KS B 0528|저항 점 용접 — 용접부 파괴 시험 — 점 용접부의 피로 시험법|2021-08-30|2021-0294|기계융합산업표준과|양동학|
202|KS B 0529|머리붙이 스터드 용접부의 굽힘 시험 방법|2019-12-31|2019-0595|기계융합산업표준과|양동학|
203|KS B 0530|H형 구속 용접 터짐 시험 방법 (폐지)|2013-12-27|2013-0054|기계융합산업표준과|양동학|
204|KS B 0531|탄소강 및 저합금강용 서브머지드 아크 용착 금속의 품질 구분 및 시험 방법 (폐지)|2013-12-27|2013-0054|기계융합산업표준과|양동학|
205|KS B 0532|초음파 펄스 반사법에 의한 고체의 초음파 감쇠 계수의 측정 방법 (폐지)|2013-12-12|2013-0692|기계융합산업표준과|김낙현|
206|KS B 0533|초음파 펄스법에 의한 고체 음속의 측정 방법 (대비 시험편을 사용하는 방법) (폐지)|2013-12-12|2013-0692|기계융합산업표준과|김낙현|
207|KS B 0534|초음파 펄스 에코 탐상 시스템의 성능 평가 방법|2021-03-23|2021-0055|기계융합산업표준과|김낙현|
208|KS B 0535|초음파 탐촉자의 성능 측정 방법 (폐지)|2018-10-31|2018-0404|기계융합산업표준과|김낙현|
209|KS B 0536|초음파 펄스 반사법에 의한 두께 측정|2021-03-23|2021-0055|기계융합산업표준과|김낙현|
210|KS B 0537|초음파 탐상기의 전자적 성능 평가 방법|2021-03-23|2021-0055|기계융합산업표준과|김낙현|
211|KS B 0538|은납땜 기술검정에서의 시험방법 및 판정기준|2020-12-31|2020-0596|기계융합산업표준과|김민우|
212|KS B 0539|팔라듐 땜납 분석 방법|2020-11-12|2020-0365|기계융합산업표준과|윤승환|
213|KS B 0540|공업용 프로세스 제어 밸브 ― 시험 및 검사|2019-12-13|2019-0466|기계융합산업표준과|이경희|
214|KS B 0541|유공압 시스템 － 실 － O링 － 겉모양 품질 기준|2019-12-13|2019-0466|기계융합산업표준과|이경희|
215|KS B 0542|수치제어 제도기(플로터) ― 시험방법 ― 제1부: 전자 기계식 플로터|2019-12-24|2019-0519|기계융합산업표준과|김민우|
216|KS B 0543|미세 납땜 기술 검정에서의 시험방법 및 판정기준 (폐지)|2013-12-18|2013-0731|기계융합산업표준과|김낙현|
217|KS B 0544|알루미늄 및 알루미늄 합금 용접 이음부의 초음파탐상검사에 대한 검사절차서 표준검증방법|2021-03-25|2021-0061|기계융합산업표준과|김낙현|
218|KS B 0545|용접 퓸 화학적 분석 방법|2021-12-30|2021-0665|기계융합산업표준과|양동학|
219|KS B 0546|용접 작업 환경에서의 가스 농도 측정 방법|2021-12-30|2021-0665|기계융합산업표준과|양동학|
220|KS B 0550|비파괴검사 용어|2021-08-30|2021-0294|기계융합산업표준과|김낙현|
221|KS B 0551|체결용 부품의 기계적 성질 제7부:호칭 지름 (1∼10) mm인 볼트 및 스크루의 비틀림 강도 시험 및 최소 파괴 토크|2020-11-24|2020-0393|기계융합산업표준과|양동학|
222|KS B 0552|금속 제품 열처리 용어|2021-05-24|2021-0131|기계융합산업표준과|윤승환|
223|KS B 0553|파스너-비전해식 아연말 피막처리 (폐지)|2007-09-18|2007-0666|기계융합산업표준과|양승배|
224|KS B 0554|철근 콘크리트용 봉강의 가스 압접 기술 검정에 대한 시험방법 및 판정 기준|2019-11-22|2019-0382|기계융합산업표준과|양동학|
225|KS B 0561|파스너용 일면 전단 시험방법|2021-09-03|2021-0306|기계융합산업표준과|양동학|
226|KS B 0562|파스너용 이면 전단 시험방법|2021-09-03|2021-0306|기계융합산업표준과|양동학|
227|KS B 0601|진직도 (폐지)|1976-04-15||기계융합산업표준과|김민우|
228|KS B 0602|직각도 (폐지)|1976-04-15||기계융합산업표준과|김민우|
229|KS B 0603|평면도 (폐지)|1976-04-15||기계융합산업표준과|김민우|
230|KS B 0604|진원도 (폐지)|1976-04-15||기계융합산업표준과|김민우|
231|KS B 0605|동심도 (폐지)|1976-04-15||기계융합산업표준과|김민우|
232|KS B 0606|평형도 (폐지)|1976-04-15||기계융합산업표준과|김민우|
233|KS B 0607|원통도 (폐지)|1978-11-15||기계융합산업표준과|김민우|
234|KS B 0608|기하 공차의 도시방법 (폐지)|2017-07-17|2017-0238|기계융합산업표준과|김민우|
235|KS B 0610|표면 파상도의 정의와 표시 (폐지)|2017-07-17|2017-0238|기계융합산업표준과|김민우|
236|KS B 0611|기계 부품의 둥글기(프레스 가공품)|2017-05-15|2017-0121|기계융합산업표준과|김민우|
237|KS B 0612|회전기기의 균형도-강성로터 (폐지)|2003-04-22|2003-0360|기계융합산업표준과|김민우|
238|KS B 0617|제도－표면의 결 도시 방법 (폐지)|2014-11-25|2014-0761|기계융합산업표준과|김민우|
239|KS B 0618|센터 구멍의 도시 방법 (폐지)|2011-01-24|2011-0015|기계융합산업표준과|김민우|
240|KS B 0701|원통축끝 (폐지)|2013-12-23||기계융합산업표준과|양승배|
241|KS B 0703|투포원 연사기 스핀들 회전진동 시험방법|2022-08-10|2022-0218|기계융합산업표준과|정지훈|
