1|KS D 8522|고순도 알루미나 분말 소재의 시험방법|2019-06-20|2019-0120|기계융합산업표준과|윤승환|
40|KS L 1560|화학분석용 자기 연소 보오트|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
41|KS L 1561|화학분석용 자기 증발 접시|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
42|KS L 1562|화학공업용 내산 도자기의 치수 및 허용차 (폐지)|1998-06-29||바이오화학서비스표준과|지민호|
43|KS L 1563|비수세식 도기제 변기 (폐지)|2002-11-18|2002-1481|바이오화학서비스표준과|지민호|
44|KS L 1564|화학공업용 내산 도자기 원추형 플랜지가 달린 곧은 관 (폐지)|2003-07-21|2003-0863|바이오화학서비스표준과|지민호|
45|KS L 1565|원추 플랜지가 달린 화학공업용 내산 도자기 T 자관 (폐지)|2003-07-21|2003-0863|바이오화학서비스표준과|지민호|
46|KS L 1566|원추 플랜지가 달린 화학공업용 내산 도자기 90도 곡관 (폐지)|2003-07-21|2003-0863|바이오화학서비스표준과|지민호|
47|KS L 1567|절수식 위생 도기 (폐지)|1982-09-30||바이오화학서비스표준과|지민호|
48|KS L 1568|화학공업용 내산 도자기 원추형 플랜지가 달린 45도 곡관 (폐지)|2003-07-21|2003-0863|바이오화학서비스표준과|지민호|
49|KS L 1569|화학 공업용 내산 도자기 소켓이 달린 곧은 관 (폐지)|1998-06-29||바이오화학서비스표준과|지민호|
50|KS L 1570|화학공업용 내산 도자기 소켓이 달린 90도 곡관 (폐지)|1998-06-29||바이오화학서비스표준과|지민호|
51|KS L 1571|화학공업용 내산 도자기 소켓이 달린 45도 곡관 (폐지)|1998-06-29||바이오화학서비스표준과|지민호|
52|KS L 1572|화학공업용 내산 도자기 반응탑용 상부통 (폐지)|1998-06-29||바이오화학서비스표준과|지민호|
53|KS L 1573|화학공업용 내산 도자기 반응탑용 중간통 (폐지)|1998-06-29||바이오화학서비스표준과|지민호|
54|KS L 1574|화학공업용 내산 도자기 반응탑용 하부통 (폐지)|1998-06-29||바이오화학서비스표준과|지민호|
55|KS L 1575|화학공업용 내산 도자기 반응탑용 뚜껑 (폐지)|1998-06-29||바이오화학서비스표준과|지민호|
56|KS L 1576|화학공업용 내산 도자기 플랜지 달린 굽은 콕 (폐지)|1990-10-19||바이오화학서비스표준과|지민호|
57|KS L 1577|화학공업용 내산 도자기 한쪽 플랜지 달린 곧은 콕 (폐지)|1990-10-19||바이오화학서비스표준과|지민호|
58|KS L 1578|화학공업용 내산 도자기 플랜지 달린 3방향 콕 (폐지)|1990-10-19||바이오화학서비스표준과|지민호|
59|KS L 1579|화학공업용 내산 도자기 굽힘 콕 (폐지)|1990-10-19||바이오화학서비스표준과|지민호|
60|KS L 1580|화학공업용 내산 도자기 블록 콕 (폐지)|1990-10-19||바이오화학서비스표준과|지민호|
61|KS L 1581|화학 공업용 내산 도자기 충전물|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
62|KS L 1582|화학공업용 내산 도자기 구형 충전물 (폐지)|1995-06-23||바이오화학서비스표준과|지민호|
63|KS L 1583|화학공업용 내산 도자기 원추 플랜지관 체부 금구 (폐지)|2003-07-21|2003-0863|바이오화학서비스표준과|지민호|
64|KS L 1584|화학분석용 자기카세롤 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
65|KS L 1585|화학분석용 고주파 연소 도가니 (폐지)|2003-07-21|2003-0863|바이오화학서비스표준과|지민호|
66|KS L 1586|화학공업용 내산 도자기 양쪽에 플랜지 달린 곧은 콕 (폐지)|1990-10-19||바이오화학서비스표준과|지민호|
67|KS L 1587|하이 탱크용 사이펀 (폐지)|1987-05-28||바이오화학서비스표준과|지민호|
68|KS L 1588|로 탱크용 볼탭 (폐지)|1987-05-28||바이오화학서비스표준과|지민호|
69|KS L 1589|로 탱크용 사이펀 (폐지)|1987-05-28||바이오화학서비스표준과|지민호|
70|KS L 1590|법랑, 유약 및 도자기의 열간 선 팽창률의 시험 방법 : 열팽창법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
71|KS L 1591|파인 세라믹스 ─ 단일체 세라믹스의 실온 꺾임강도 시험방법 (폐지)|2018-11-20|2018-0434|바이오화학서비스표준과|지민호|
72|KS L 1592|도자기질 타일 시멘트|2021-08-04|2021-0218|기계융합산업표준과|정현우|
73|KS L 1593|도자기질 타일용 접착제|2020-12-28|2020-0521|바이오화학서비스표준과|지민호|
74|KS L 1596|강화 자기 식기의 테두리 충격강도 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
75|KS L 1597|세라믹 블럭|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
76|KS L 1598|파인세라믹스의 고온 탄성률 시험 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
77|KS L 1599|파인세라믹스-단일체 세라믹스의 상온 인장강도 시험방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
78|KS L 1600|고성능 요업 제품의 파괴인성 시험 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
79|KS L 1601|단일체 세라믹스의 상온 압축 강도 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
80|KS L 1602|비산화물계 파인세라믹스의 내산화성 시험방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
81|KS L 1603|파인세라믹스 ─ 단일체 세라믹스의 실온경도 시험방법 (폐지)|2018-11-20|2018-0434|바이오화학서비스표준과|지민호|
82|KS L 1604|파인 세라믹스 — 단일체 세라믹스의 레이저 플래시법에 의한 열확산율, 비열용량, 열전도도 시험방법|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
83|KS L 1605|파인세라믹스의 꺾임 크리프 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
84|KS L 1606|파인세라믹스 ─ 단일체 세라믹스의 볼·온·디스크법에 의한 마모시험방법 (폐지)|2018-11-20|2018-0434|바이오화학서비스표준과|지민호|
85|KS L 1607|파인세라믹스의 산 및 알칼리 부식시험 방법|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
86|KS L 1608|파인세라믹스의 고온 파괴 인성 시험 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
87|KS L 1611|파인 세라믹스의 고온•고압 환경 적성 시험방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
88|KS L 1612|파인세라믹스용 탄화규소 미분말의 화학 분석 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
89|KS L 1613|파인세라믹스용 질화규소 미분말의 화학 분석 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
90|KS L 1614|파인 세라믹 분말의 레이저 회절ㆍ산란법에 의한 입도분포 측정방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
91|KS L 1616|파인세라믹스 분말의 등전점 측정|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
92|KS L 1617|파인 세라믹스 — 습식 체가름법에 의한 세라믹 분체 중의 조대입자 함량 측정 방법|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
93|KS L 1618|파인 세라믹스 ─ 과립특성 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
94|KS L 1618-1|파인세라믹스 - 과립 특성측정 방법 - 제1부 : 과립경 분포 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
95|KS L 1618-2|파인세라믹스 - 과립 특성측정 방법 - 제2부 : 부피 밀도 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
96|KS L 1618-3|파인세라믹스-과립특성 측정방법-제3부 : 건조감량 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
97|KS L 1618-4|파인세라믹스 - 과립 특성 측정 방법 - 제4부 : 유동도 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
98|KS L 1619|파인 세라믹 박막의 4탐침법에 의한 저항률 시험방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
99|KS L 1620|전도성 세라믹 박막의 비저항 측정방법 ─ 반데르포우법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
100|KS L 1621|파인세라믹스 분말의 부피밀도 측정방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
101|KS L 1622|광촉매 용어|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
102|KS L 1623|파인세라믹스 과립의 압축강도 평가방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
103|KS L 1624|파인세라믹스 분체의 비충전밀도 평가방법|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
104|KS L 1625|파인세라믹스 분체의 압축특성 평가방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
105|KS L 1626|파인세라믹스 분체의 유동도 평가방법|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
106|KS L 1627|파인세라믹스-유도결합 플라스마 방출 분광법에 의한 고순도 코발트 잉곳의 불순물 분석방법-주성분 보정법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
107|KS L 2001|보통 판유리 (폐지)|2002-11-18|2002-1481|바이오화학서비스표준과|지민호|
108|KS L 2002|강화 유리|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
109|KS L 2003|복층 유리|2018-06-29|2018-0178|바이오화학서비스표준과|지민호|
110|KS L 2004|접합 유리|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
111|KS L 2005|무늬 유리|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
112|KS L 2006|망 판유리 및 선 판유리|2018-06-29|2018-0178|바이오화학서비스표준과|지민호|
113|KS L 2007|자동차용 안전 유리|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
114|KS L 2008|열선 흡수 판 유리|2018-06-29|2018-0178|바이오화학서비스표준과|지민호|
115|KS L 2009|현미경용 커버 유리|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
116|KS L 2010|현미경용 슬라이드 유리|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
117|KS L 2011|X 선 방호용 납 유리|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
118|KS L 2012|플로트 판유리 및 마판 유리|2018-06-29|2018-0178|바이오화학서비스표준과|지민호|
119|KS L 2013|광학용 적외선 흡수 유리 (폐지)|2001-08-20||바이오화학서비스표준과|지민호|
120|KS L 2014|열선 반사 유리|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
121|KS L 2015|배강도 유리|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
122|KS L 2016|창 유리용 필름|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
123|KS L 2017|저방사 유리|2018-06-29|2018-0178|바이오화학서비스표준과|지민호|
124|KS L 2018|유리 중의 납 및 카드뮴 정량 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
125|KS L 2019|유리 중의 6가 크로뮴 정량 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
126|KS L 2100|전구 유리중의 수은 정량 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
127|KS L 2101|규사 및 규석의 화학 분석 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
128|KS L 2102|유리의 누프경도 시험 방법 (폐지)|2005-11-25|2005-0782|바이오화학서비스표준과|지민호|
129|KS L 2104|거울용 유리|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
130|KS L 2105|저팽창 유리의 레이저 간섭법에 의한 선 열팽창률 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
131|KS L 2106|유리의 레이저 간섭법에 의한 균질도 측정 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
132|KS L 2107|유리기판용 실리카 도포막의 밀착성 시험 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
133|KS L 2108|유리 기판의 박막 부착성 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
134|KS L 2109|유리 기판의 표면 비저항 측정방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
135|KS L 2110|기판유리 표면의 젖음성 시험방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
136|KS L 2300|피스톤식 미량 피펫 (폐지)|2021-03-31|2021-0073|바이오화학서비스표준과|지민호|
137|KS L 2301|이화학용 유리 기구의 시험 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
138|KS L 2302|이화학용 유리 기구의 모양 및 치수|2017-12-01|2017-0558|바이오화학서비스표준과|지민호|
139|KS L 2303|이화학용 유리 기구|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
140|KS L 2304|앰풀|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
141|KS L 2305|앰풀관|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
142|KS L 2306|유리관|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
143|KS L 2307|유리봉|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
144|KS L 2308|소오다석회 유리의 화학 분석 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
145|KS L 2309|유리제 약품병 (폐지)|1981-11-30||바이오화학서비스표준과|지민호|
146|KS L 2310|내산 유리병|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
147|KS L 2311|주사제용 유리병|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
148|KS L 2312|염색용 자기비이커 (폐지)|2005-08-09|2005-0475|바이오화학서비스표준과|지민호|
149|KS L 2313|유리로빙|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
150|KS L 2314|마감처리된 유리 직물|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
151|KS L 2315|유리 로빙포|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
152|KS L 2316|화학 분석용 부피계 유리 소재|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
153|KS L 2317|부피측정용 유리기구|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
154|KS L 2318|이화학용 유리 기구의 이음부 갈아맞춤 ( 짧은 모양 ) (폐지)|2001-10-13||바이오화학서비스표준과|지민호|
155|KS L 2319|이화학용 유리 기구의 이음부 갈아맞춤 ( 중간 모양 ) (폐지)|2001-10-13||바이오화학서비스표준과|지민호|
156|KS L 2320|이화학용 유리 기구의 공통 테이퍼 갈아 맞춤 이음부|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
157|KS L 2321|이화학용 유리 메스플라스크용 마개 갈아 맞춤 (폐지)|2001-10-13||바이오화학서비스표준과|지민호|
158|KS L 2322|이화학용 유리 기구의 좁은 입 병마개 갈아 맞춤 (폐지)|2001-10-13||바이오화학서비스표준과|지민호|
159|KS L 2323|화학분석용 유리 기구의 공통 구면 갈아 맞춤 이음부|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
160|KS L 2324|세라믹 코팅 시험 방법 (폐지)|2001-08-20||바이오화학서비스표준과|지민호|
161|KS L 2325|유리 용기의 내압력 시험 방법 (폐지)|1996-12-02||바이오화학서비스표준과|지민호|
162|KS L 2326|유리 용기의 시료 채취 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
163|KS L 2327|절단 유리 섬유 매트|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
164|KS L 2401|빔 굽힘을 이용한 유리의 서랭점 및 스트레인점 시험 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
165|KS L 2402|탄산 음료용 유리병의 비산 방지 성능 시험 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
166|KS L 2403|크리스탈 유리|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
167|KS L 2404|크리스탈 유리의 화학 분석 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
168|KS L 2405|거울면 광택도 측정 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
169|KS L 2406|거울|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
170|KS L 2407|유리제 진공 보온병|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
171|KS L 2408|유리컵|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
172|KS L 2410|탄산 음료용 유리병|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
173|KS L 2411|탄산 음료용 유리병의 두께 측정 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
174|KS L 2413|탄산 음료용 유리병의 스트레인 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
175|KS L 2414|탄산 음료용 유리병의 열충격 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
176|KS L 2415|탄산 음료용 유리병의 기계 충격 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
177|KS L 2424|내열 유리제 식기|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
178|KS L 2501|유리병 — 일반 유리병|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
179|KS L 2502|유리컵의 등급 표준 (폐지)|2001-08-20||바이오화학서비스표준과|지민호|
180|KS L 2503|유리 용기의 열 충격 시험 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
181|KS L 2504|유리의 연화점 시험 방법 (폐지)|2014-11-27|2014-0770|바이오화학서비스표준과|지민호|
182|KS L 2505|유리의 스트레인점 시험 방법 (폐지)|2014-11-27|2014-0770|바이오화학서비스표준과|지민호|
183|KS L 2506|유리의 평균 선팽창 계수의 시험 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
184|KS L 2507|직조용 유리실|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
185|KS L 2508|유리 직물|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
186|KS L 2509|직조 유리 테이프|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
187|KS L 2510|커어튼용 유리 직물 (폐지)|2002-11-18|2002-1481|바이오화학서비스표준과|지민호|
188|KS L 2511|집진용 처리 유리 직물|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
189|KS L 2512|붕규산 유리의 화학 분석 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
190|KS L 2513|유리 섬유 일반 시험 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
191|KS L 2514|판유리의 가시광선 투과율 , 반사율 , 방사율, 태양열 취득률 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
192|KS L 2515|탄소 섬유 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
193|KS L 2516|유리제 ( 화학플랜용 ) 구성 부품|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
194|KS L 2517|전자기기용 처리 유리 직물 (폐지)|2003-07-21|2003-0863|바이오화학서비스표준과|지민호|
195|KS L 2518|유리 섬유 용어|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
196|KS L 2521|도로 표지 도료용 유리알|2019-11-11|2019-0354|바이오화학서비스표준과|지민호|
197|KS L 2522|탄소섬유 직물 시험 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
198|KS L 2523|막 구조용 무처리 유리포|2021-09-27|2021-0397|바이오화학서비스표준과|박현영|
199|KS L 2524|표면 피복용 유리 직물|2021-09-27|2021-0397|바이오화학서비스표준과|박현영|
200|KS L 2525|판유리류의 열저항 및 건축 관련 열관류율의 계산방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
201|KS L 2526|플루오르화 유리의 화학적 내구성 시험방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
202|KS L 3001|입상 내화 돌로마이트의 분류 및 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
203|KS L 3002|법랑제품의 품질시험방법|2018-12-31|2018-0596|바이오화학서비스표준과|지민호|
204|KS L 3101|내화벽돌의 모양 및 치수|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
205|KS L 3102|평로용 축열실 내화 벽돌의 형상 및 치수 (폐지)|2002-11-18|2002-1481|바이오화학서비스표준과|지민호|
206|KS L 3103|큐폴라용 내화 벽돌의 모양 및 치수 (폐지)|2002-11-18|2002-1481|바이오화학서비스표준과|지민호|
207|KS L 3104|내화벽돌의 치수 검사 방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
208|KS L 3105|표준형이아닌내화벽돌의치수검사방법 (폐지)|1984-06-30||바이오화학서비스표준과|지민호|
209|KS L 3110|내화 벽돌의 꺾임 강도 시험 방법|2017-11-30|2017-0549|바이오화학서비스표준과|지민호|
210|KS L 3111|내화 벽돌의 치수측정 방법 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
211|KS L 3112|내화 벽돌의 뒤틀림 측정 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
212|KS L 3113|내화물 및 내화 원료의 내화도 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
213|KS L 3114|내화 벽돌의 겉보기, 기공률, 흡수율 및 비중 측정 방법 (폐지)|2013-11-18|2013-0620|바이오화학서비스표준과|지민호|
214|KS L 3115-1|내화 벽돌 — 상온 압축 강도 시험방법 — 제1부: 패킹 없는 상태에서의 시험|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
215|KS L 3115-2|내화 벽돌 - 상온 압축강도 시험방법 - 제 2부: 패킹 상태에서의 시험|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
216|KS L 3116|내화 벽돌의 열간 선 팽창률 시험 방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
217|KS L 3117|치밀질 내화벽돌-가열에 의한 잔존 치수변화율의 시험방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
218|KS L 3118|염기성 내화 벽돌의 소화성 시험 방법 (폐지)|2005-08-09|2005-0475|바이오화학서비스표준과|지민호|
219|KS L 3119|내화 벽돌의 하중 연화점 시험 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
220|KS L 3120|내화 벽돌의 화학 분석 방법 (폐지)|1994-11-11||바이오화학서비스표준과|지민호|
221|KS L 3121|내화 단열 벽돌의 열전도도 측정 방법|2021-03-31|2021-0074|바이오화학서비스표준과|지민호|
222|KS L 3122|탄소질 벽돌의 재가열 시험 방법|2021-12-31|2021-0678|바이오화학서비스표준과|지민호|
223|KS L 3123|염기성 내화물의 수화도 시험 방법|2017-01-02|2017-0005|바이오화학서비스표준과|지민호|
224|KS L 3124|점토질 플라스틱 내화물의 작업성 지수 측정 방법 (폐지)|2001-08-20||바이오화학서비스표준과|지민호|
225|KS L 3125|내화 모르타르의 접착 시간 시험방법|2018-08-08|2018-0257|바이오화학서비스표준과|지민호|
226|KS L 3126|내화 모르타르의 분말도 시험 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
227|KS L 3127|내화 모르타르의 주도 시험 방법|2020-12-24|2020-0504|바이오화학서비스표준과|지민호|
228|KS L 3128|내화벽돌 및 내화 모르타르의 화학분석 방법 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
229|KS L 3128-1|내화벽돌 및 내화 모르타르의 화학분석 방법 - 제 1 부 : 점토질 내화물 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
230|KS L 3128-2|내화벽돌 및 내화 모르타르의 화학분석 방법 - 제 2부: 규소질 내화물 (폐지)|2013-10-26|2013-0572|바이오화학서비스표준과|지민호|
