1|KS A 0001|표준서의 서식 및 작성방법|2021-01-11|2021-0002|산업표준혁신과|고정하|
51|KS A 0059|메가 파스칼과 무게 킬로그램 매제곱밀리 미터 와의 환산표 (폐지)|2005-09-14|2005-0551|기계융합산업표준과|양승배|
52|KS A 0060|형광 램프의 연색성 구분 (폐지)|1988-06-08||전기전자정보표준과|김원석|
53|KS A 0061|XYZ 색표시계 및 X10Y10Z10 색표시계에 따른 색의 표시 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
54|KS A 0062|색의 3속성에 의한 표시 방법|2018-11-20|2018-0436|바이오화학서비스표준과|박정은|
55|KS A 0063|색차 표시 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
56|KS A 0064|색에 관한 용어|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
57|KS A 0065|표면색의 시감 비교 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
58|KS A 0066|물체색의 측정 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
59|KS A 0067|L.A.B 표색계 및 L.U.V 표색계에 의한 물체색의 표시 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
60|KS A 0068|광원색의 측정 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
61|KS A 0070|10 도시야 XYZ 계에희한색의표시방법 (폐지)|1983-09-12||바이오화학서비스표준과|박정은|
62|KS A 0071|10 도시야 XYZ 계에의한물체색의측정방법 (폐지)|1983-09-12||바이오화학서비스표준과|박정은|
63|KS A 0072|2 도시야에있어서 XYZ 계에의한색의표시방법 (폐지)|1983-09-12||바이오화학서비스표준과|박정은|
64|KS A 0077|배기 가스중의 분진농도의 측정 방법 (폐지)|1993-09-14||화학서비스표준과|화학과|
65|KS A 0079|부유 분진 농도 측정 방법 통칙|2019-11-27|2019-0414|바이오화학서비스표준과|채송화|
66|KS A 0080|정전식 분진채취기 및 정전식 분진 채취기에 의한 공기중 부유분진량의 측정 방법 (폐지)|2014-12-31|2014-0990|바이오화학서비스표준과|지민호|
67|KS B 0083|방전 및 전기를 사용하는 진공계에 의한 진공도 측정 방법|2017-12-04|2017-0562|기계융합산업표준과|이경희|
68|KS A 0082|로볼륨 에어 샘플러 및 로볼륨 에어 샘플러에 의한 공기 중 부유분진 측정 방법|2018-12-24|2018-63|생활환경연구과|심인근|
69|KS A 0083|질량 분석계형 누출 탐지기 교정 방식 통칙|2018-11-19|2018-0433|기계융합산업표준과|윤승환|
70|KS A 0084|형광 물체색의 측정 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
71|KS A 0085|관측자에 따른 조건 등색도의 평가 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
72|KS A 0086|압력증가법을 이용한 탈가스 시험방법|2017-05-15|2017-0121|기계융합산업표준과|윤승환|
73|KS A 0089|백색도 ― 표시 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
74|KS A 0090|시험용 분체 및 시험용 입자|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
75|KS A 0091|킬로주울 매킬로그램 매캘빈과 칼로리 매그램 매도와의 환산표 (폐지)|1996-11-27|||김세진|
76|KS A 0092|메가 주울과 킬로와트시와의 환산표 (폐지)|1996-11-27|||김세진|
77|KS A 0093|와트 매미터 매캘빈과 킬로칼로리 매시 매미터 매도와의 환산표 (폐지)|1996-11-27|||김세진|
78|KS A 0094|기체흡착에 의한 분체(고체)의 비표면적 측정방법|2019-11-22|2019-0381|바이오화학서비스표준과|지민호|
79|KS A 0095|침강 질량법에 따른 분체의 입자지름 분포 측정방법|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
80|KS A 0096|기계용어(신뢰성, 보전성 및 가용성)|2017-05-15|2017-0121|기계융합산업표준과|김민우|
81|KS A 0101|수학기호 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
82|KS A 0102|양의 기호,단위기호 및 화학기호 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|양승배|
83|KS A 0103|양기호 (폐지)|1982-10-08||기계융합산업표준과|양승배|
84|KS A 0104|교정 기호|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
85|KS A 0105|계량 및 측정 단위와 그 사용법 (폐지)|2005-12-01|2005-0808|기계융합산업표준과|양승배|
86|KS A 0106|도면의 크기 및 양식 (폐지)|2014-07-16|2014-0312|기계융합산업표준과|김민우|
87|KS A 0107|제도 ― 문자 (폐지)|2017-07-17|2017-0238|기계융합산업표준과|김민우|
88|KS A 0108|제도 ― 길이치수 및 각도치수의 허용한계 기입 방법 (폐지)|2013-12-23|2013-0027|기계융합산업표준과|김민우|
89|KS A 0109|제도 ― 표시의 일반원칙(선에 대한 기본사항) (폐지)|2014-11-25|2014-0761|기계융합산업표준과|김민우|
90|KS A 0110|제도 — 척도|2021-08-31|2021-0299|기계융합산업표준과|김민우|
91|KS A 0111|제도 ― 투상법 (폐지)|2017-07-17|2017-0238|기계융합산업표준과|김민우|
92|KS A 0112|제도에 있어서 도형의 표시 방법 (폐지)|2014-12-30|2014-0965|기계융합산업표준과|김민우|
93|KS A 0113|제도 ― 치수의 기입방법(일반원칙, 정의, 실행방법, 특별한 지시 방법) (폐지)|2013-04-22||기계융합산업표준과|김민우|
94|KS A 0114|조명조건에 따른 등색도의 평가 방법|2020-12-22|2020-0492|바이오화학서비스표준과|박정은|
95|KS A 0201|활자의 기준 치수|2020-12-29|2020-0572|기계융합산업표준과|김민우|
96|KS A 0202|기계 조각용 표준 서체(한자 ― 간체자)|2019-12-24|2019-0519|기계융합산업표준과|김민우|
97|KS A 0203|기계 조각용 표준 서체(아라비아 숫자와 로마자)|2021-08-31|2021-0299|기계융합산업표준과|김민우|
98|KS A 0301|악기용 주파수 기준 (폐지)|2003-11-14|2003-1435||김세진|
99|KS A 0401|표준수 (폐지)|2003-11-14|2003-1435||김세진|
100|KS A 0501|공업 계기의 눈금 통칙|2021-09-03|2021-0303|기계융합산업표준과|윤승환|
101|KS A 0502|공업 계기의 바늘 통칙|2021-09-03|2021-0303|기계융합산업표준과|윤승환|
102|KS A 0503|배관계의 식별 표시|2020-12-31|2020-0596|기계융합산업표준과|김민우|
103|KS A 0504|그림 기호 통칙|2018-10-31|2018-0403|기계융합산업표준과|김민우|
104|KS A 0505|방향성 및 운동 방향 통칙 (폐지)|2014-07-16|2014-0312|기계융합산업표준과|김민우|
105|KS A 0506|진공계 교정 방법 (폐지)|2013-12-02|2013-0661|기계융합산업표준과|양승배|
106|KS A 0506-1|열전도형 진공계 교정 방법 (폐지)|2013-12-02|2013-0661|기계융합산업표준과|양승배|
107|KS A 0506-2|전리형 진공계 교정 방법 (폐지)|2013-12-02|2013-0661|기계융합산업표준과|양승배|
108|KS A 0506-3|점성 진공계 교정 방법 (폐지)|2013-12-02|2013-0661|기계융합산업표준과|양승배|
109|KS A 0506-4|용량형 진공계 교정 방법 (폐지)|2013-12-02|2013-0661|기계융합산업표준과|양승배|
110|KS A 0507|체가름 시험 방법 통칙|2017-12-01|2017-0561|바이오화학서비스표준과|지민호|
111|KS A 0508|액상 침강법에 의한 분체의 입자 지름 분포 측정 방법 통칙 (폐지)|2003-10-17|2003-1305||김철호|
112|KS A 0509|피펫법에 의한 분체의 입자지름 분포 측정 방법 (폐지)|2004-09-17|2004-0626||김철호|
113|KS A 0511|온도 측정 방법 통칙|2020-12-24|2020-0525|기계융합산업표준과|윤승환|
114|KS A 0512|유리제 온도계에 의한 온도 측정 방법|2019-12-16|2019-0484|기계융합산업표준과|윤승환|
115|KS A 0513|광 고온계에 의한 온도 측정 방법|2021-09-03|2021-0303|기계융합산업표준과|윤승환|
116|KS A 0514|충만식 온도계 및 바이메탈식 온도계에 의한 온도 측정 방법|2020-12-24|2020-0525|기계융합산업표준과|윤승환|
117|KS A 0515|터빈 유량계에 의한 유량 측정 방법|2020-12-24|2020-0525|기계융합산업표준과|윤승환|
118|KS B 0084|열전도 진공계에 의한 압력 측정 방법|2017-12-04|2017-0562|기계융합산업표준과|이경희|
119|KS B 0085|액주차를 사용하는 진공계에 의한 진공도 측정 방법|2017-12-04|2017-0562|기계융합산업표준과|이경희|
120|KS A 0531|액체의 점도 — 측정방법|2021-09-28|2021-0406|바이오화학서비스표준과|김도수|
121|KS A 0601|액체 비중 측정방법|2021-09-28|2021-0406|바이오화학서비스표준과|김도수|
122|KS A 0603|진동 레벨 측정 방법 (폐지)|2005-12-01|2005-0808|기계융합산업표준과|김민우|
123|KS A 0611|플로트형 면적 유량계에 의한 유량 측정 방법|2022-08-16|2022-0229|기계융합산업표준과|윤승환|
124|KS A 0612|조임 기구에 의한 유량 측정 방법|2022-08-16|2022-0229|기계융합산업표준과|윤승환|
125|KS A 0701|소음도 측정 방법 (폐지)|2002-12-31|2002-1848|전기전자정보표준과|김성희|
126|KS A 0703|일반 음장에서 음향 파워 레벨 측정 방법 (폐지)|2002-11-30|2002-1607|전기전자정보표준과|김성희|
127|KS A 0704|잔향실에서의 음향 파워 레벨 측정 방법 (폐지)|2002-11-30|2002-1607|전기전자정보표준과|김성희|
128|KS A 0705|무향실 또는 반무향실에서의 음향 파워레벨 측정 방법 (폐지)|2002-11-30|2002-1607|전기전자정보표준과|김성희|
129|KS A 0801|열효율 계산 방법 통칙|2018-02-28|2018-0042|바이오화학서비스표준과|채송화|
130|KS A 0802|유효 에너지 평가 방법 통칙|2018-12-27|2018-0560|바이오화학서비스표준과|채송화|
131|KS A 0803|인쇄 기계 — 그래픽 심볼|2021-10-25|2021-0486|바이오화학서비스표준과|박정은|
132|KS A 0804|인쇄 용어 — 기본 용어|2021-08-31|2021-0299|기계융합산업표준과|김민우|
133|KS A 0901-1|공공 안내 그림 표지 - 공공.일반시설 (폐지)|2009-07-09|2009-0325|바이오화학서비스표준과|박정은|
134|KS A 0901-2|공공 안내 그림 표지 (폐지)|2009-07-09|2009-0325|바이오화학서비스표준과|박정은|
135|KS A 0901-3|공공 안내 그림 표지 - 제4차 (폐지)|2009-07-09|2009-0325|바이오화학서비스표준과|박정은|
136|KS A 0901-4|공공 안내 그림 표지 (폐지)|2009-07-09|2009-0325|바이오화학서비스표준과|박정은|
137|KS A 1001|포장의 정의 (폐지)|1985-05-24||기계융합산업표준과|강민구|
138|KS A 10011-1|품질시스템 심사지침 -제1부:심사 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
139|KS A 10011-2|품질시스템 심사지침 -제2부:심사원자격기준 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
140|KS A 10011-3|품질시스템 심사지침 제3부:심사 프로그램의 관리 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|정권호|
141|KS A 10012-1|측정장비의 품질보증 요구사항-제1부 : 측정장비의 도량형적 확인 시스템 (폐지)|2004-12-29|2004-1123|바이오화학서비스표준과|정권호|
142|KS A 10012-2|측정장비의 품질보증-제2부 : 측정 공정의 관리 지침 (폐지)|2004-12-29|2004-1123|바이오화학서비스표준과|정권호|
143|KS A 10013|품질메뉴얼 개발 지침 (폐지)|2005-09-02|2005-0524|바이오화학서비스표준과|정권호|
144|KS A 1004|골판지 인쇄의 색 표준 (폐지)|2007-11-30|2007-1027|바이오화학서비스표준과|박정은|
145|KS A 1008|일반 화물의 취급 표지 (폐지)|2008-04-18|2008-0186|기계융합산업표준과|강민구|
146|KS A 1010|시험 용기의 기호 표시 방법 (폐지)|2008-04-18|2008-0186|기계융합산업표준과|강민구|
147|KS A 1012|포장 화물 및 용기의 압축 시험 방법 (폐지)|2003-05-15|2003-0486|기계융합산업표준과|강민구|
148|KS A 1017|포장 화물 및 용기의 진동 시험 방법 (폐지)|2004-12-14|2004-0979|기계융합산업표준과|강민구|
149|KS A 1025|판지의 평취 강도 시험 (폐지)|1976-03-31||기계융합산업표준과|강민구|
150|KS A 1026|포장 화물의 평가 시험 방법 통칙 (폐지)|2004-12-14|2004-0979|기계융합산업표준과|강민구|
151|KS A 1029|포장용 완충 재료의 동적 압축 시험 방법 (폐지)|2003-05-15|2003-0486|기계융합산업표준과|강민구|
152|KS A 1030|포장용 완충 재료의 정적 압축 시험 방법 (폐지)|2007-12-27|2007-1214|기계융합산업표준과|강민구|
153|KS A 1041|골판지용 골심지의 평면 압축 강도 시험 방법 (폐지)|1988-10-10||기계융합산업표준과|강민구|
154|KS A 1050|종이 또는 판지의 컬 및 사이즈도 측정 방법 (폐지)|2008-10-15|2008-0673|바이오화학서비스표준과|박정은|
155|KS A 1051|로울 상자형 팰리트 (폐지)|1997-07-12||기계융합산업표준과|강민구|
156|KS A 1056|종이의 내구성 시험 방법 (폐지)|2008-10-15|2008-0673|바이오화학서비스표준과|박현영|
157|KS A 1063|포장-종이 및 판지 랩퍼, 대 및 용기- 랩핑 종이 (폐지)|2009-01-02|2008-0923|기계융합산업표준과|강민구|
158|KS A 1064|포장-종이 및 판지 랩퍼, 대 및 용기- 대 및 봉투 (폐지)|2009-01-02|2008-0923|기계융합산업표준과|강민구|
159|KS A 1065|포장-종이 및 판지 랩퍼, 대 및 용기 - 카톤 및 상자 (폐지)|2009-01-02|2008-0923|기계융합산업표준과|강민구|
160|KS A 1066|포장-종이 및 판지 랩퍼, 대 및 용기 - 합판지 드럼 (폐지)|2009-01-02|2008-0923|기계융합산업표준과|강민구|
161|KS A 1067|포장-종이 및 판지 랩퍼, 대 및 용기 - 골판지 상자 및 부품 (폐지)|2009-01-02|2008-0923|기계융합산업표준과|강민구|
162|KS A 1068|포장-포장 취급시 기계 이용방법 (폐지)|2009-01-02|2008-0923|기계융합산업표준과|강민구|
163|KS A 1103|국제 화물 컨테이너 용어 (폐지)|2003-07-22|2003-0872|기계융합산업표준과|강민구|
164|KS A 1201|가정용 재봉틀의 수출 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
165|KS A 1202|수출용 전구의 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
166|KS A 1203|도자기의 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
167|KS A 1204|수출용 성냥의 포장 (폐지)|1994-05-19||기계융합산업표준과|강민구|
168|KS A 1205|수출 자전거의 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
169|KS A 1206|의약품 ( 정제류 ) 의 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
170|KS A 1207|수출 쌍안경의 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
171|KS A 1208|수출 시약의 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
172|KS A 1209|수출 사진기의 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
173|KS A 1210|수출 현미경의 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
174|KS A 1211|수출 측량기기의 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
175|KS A 1212|수출 광학기기의 포장 (폐지)|1990-12-27||기계융합산업표준과|강민구|
176|KS A 1213|신발의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
177|KS A 1214|의류의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
178|KS A 1215|모발 제품의 포장 (폐지)|2002-12-31|2002-1830|바이오화학서비스표준과|박현영|
179|KS A 1216|원사의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
180|KS A 1217|앨범의 포장 (폐지)|2002-12-31|2002-1830|바이오화학서비스표준과|박현영|
181|KS A 1218|타일의 포장 (폐지)|2002-12-31|2002-1830|바이오화학서비스표준과|박현영|
182|KS A 1219|양송이 통조림의 포장 (폐지)|2002-12-31|2002-1830|바이오화학서비스표준과|박현영|
183|KS A 1225|아스팔트 합판지 (폐지)|1999-09-22||바이오화학서비스표준과|박현영|
184|KS A 1226|운동용구류의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
185|KS A 1227|기타아 . 하아모니카의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
186|KS A 1228|찻잔의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
187|KS A 1229|가방의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
188|KS A 1230|즉석 면류의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
189|KS A 1231|의료용구의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
190|KS A 1232|우산양산의포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
191|KS A 1233|연필 . 공책 . 크레이온 및 파스의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
192|KS A 1234|비누의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
193|KS A 1235|전화기 . 인터폰의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
194|KS A 1236|진공보온병의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
195|KS A 1237|껌의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
196|KS A 1238|벽시계의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
197|KS A 1239|식탁용품의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
198|KS A 1240|건전지의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
199|KS A 1241|트랜지스터의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
200|KS A 1242|라디오의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
201|KS A 1243|형광램프의 포장 (폐지)|1994-01-07||기계융합산업표준과|강민구|
202|KS A 13485|품질시스템-의료 기기-KS A 9001의 적용에 대한 특정 추가 요구사항 (폐지)|2003-06-10|2003-0617|바이오화학서비스표준과|정권호|
203|KS A 13488|품질시스템-의료 기기-KS A 9002의 적용에 대한 특정 추가 요구사항 (폐지)|2003-06-10|2003-0617|바이오화학서비스표준과|정권호|
204|KS A 14010|환경심사 지침 -일반원리 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|이상하|
205|KS A 14011|환경심사지침 -심사절차 환경경체제 심사 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|이상하|
206|KS A 14012|환경심사지침 - 환경심사원자격기준 (폐지)|2003-12-31|2003-1782|바이오화학서비스표준과|이상하|
207|KS A 14040|환경 경영-전과정 평가-원칙 및 기본구조 (폐지)|2007-05-25|2007-0220|바이오화학서비스표준과|이상하|
208|KS A 1532|과실류 포장용 골판지 상자 (폐지)|1998-07-02|1998-167|기계융합산업표준과|강민구|
209|KS A 1545|포장 화물 시험 전처리 (폐지)|2004-12-14|2004-0979|기계융합산업표준과|강민구|
210|KS A 1551|소금포대 (폐지)|1987-03-18||화학서비스표준과|신상훈|
211|KS A 1554|고구마 녹말 포장용 크라프트 지대 (폐지)|2007-11-05|2007-0951|바이오화학서비스표준과|박현영|
212|KS A 1555|감자 녹말 포장용 크라프트 지대 (폐지)|2007-11-05|2007-0951|바이오화학서비스표준과|박현영|
213|KS A 1557|적층 알루미늄 박 (폐지)|2008-04-18|2008-0186|기계융합산업표준과|이경희|
214|KS A 1605|강제휴대용 연료통 (폐지)|2004-12-14|2004-0979|기계융합산업표준과|강민구|
215|KS A 1616|랙 창고의 통로 너비 (폐지)|2000-07-15||기계융합산업표준과|강민구|
216|KS A 1622|권양기 용어 (폐지)|1995-12-04|||김세진|
217|KS A 1626|창고내 소음기준 (폐지)|2000-07-15|||김세진|
218|KS A 1628|드라이브 스루 랙 (폐지)|2000-07-15|||김세진|
219|KS A 1629|유동 랙 (폐지)|2000-07-15|||김세진|
220|KS A 1635|창고내 조명도 기준 (폐지)|2000-07-15|||김세진|
221|KS A 1636|창고내 안전표시 기준 (폐지)|2000-07-15|||김세진|
222|KS A 1701|국제 일반 화물 컨테이너 (폐지)|2003-05-15|2003-0487|기계융합산업표준과|강민구|
223|KS A 1702|금속제 소형 콘테이너 (폐지)|1996-06-15||기계융합산업표준과|강민구|
224|KS A 1703|국제냉동컨테이너 (폐지)|2003-05-15|2003-0487|기계융합산업표준과|강민구|
225|KS A 1707|국제 플랫 폼 컨테이너 (폐지)|2003-05-15|2003-0487|기계융합산업표준과|강민구|
226|KS A 1711|국제 대형 컨테이너 식별 코드 (폐지)|1997-05-06||기계융합산업표준과|강민구|
227|KS A 1712|배송용 소형 보냉고 시험 방법|2022-09-05|2022-0293|기계융합산업표준과|강민구|
228|KS A 1713|드라이브인 래크 (폐지)|2000-07-15|||김세진|
229|KS A 1717|유연성 콘테이너의 치수 (폐지)|1983-12-22||기계융합산업표준과|강민구|
230|KS A 1718|국제 화물 컨테이너의 바깥치수 및 최대 총무게 (폐지)|2003-07-22|2003-0872|기계융합산업표준과|강민구|
231|KS A 1721|국제 탱크 컨테이너 (폐지)|2003-07-22|2003-0872|기계융합산업표준과|강민구|
232|KS A 1722|국제 화물 컨테이너의 취급 (폐지)|2003-07-22|2003-0872|기계융합산업표준과|강민구|
233|KS A 2100|나무솜 (폐지)|1997-07-12|||김세진|
234|KS A 2153|수출 포장용 틀 상자 (폐지)|1979-12-30|||김세진|
235|KS A 2154|철선 묶음 상자 (폐지)|2007-12-27|2007-1214|기계융합산업표준과|강민구|
236|KS A 2157|철선 묶음 살상자 (폐지)|2007-12-27|2007-1214|기계융합산업표준과|강민구|
237|KS A 2158|평팰리트 (폐지)|1994-12-30|||김세진|
238|KS A 2162|배송용 롤 보랭고 팰릿 (폐지)|1996-12-13||기계융합산업표준과|강민구|
239|KS A 2202|의약품용 알루미늄제 압출 튜브 (폐지)|2006-12-29|2006-0949|기계융합산업표준과|윤종식|
240|KS A 3001|품질관리 용어 (폐지)|2002-12-30|2002-1794|기계융합산업표준과|김민우|
241|KS A 3001-1|통계-용어 및 기호-제1부 : 확률 및 일반통계용어 (폐지)|2009-01-02|2008-0851|기계융합산업표준과|양승배|
242|KS A 3001-2|통계-용어 및 기호-제2부 : 통계적 품질관리 용어 (폐지)|2009-01-02|2008-0851|기계융합산업표준과|양승배|
243|KS A 3001-3|통계-용어 및 기호-제3부 : 실험 계획법 (폐지)|2009-01-02|2008-0851|기계융합산업표준과|양승배|
244|KS A 3002|공정 도시 기호|2019-12-24|2019-0519|기계융합산업표준과|김민우|
245|KS A 3003|0 R 용어|2020-12-29|2020-0572|기계융합산업표준과|김민우|
246|KS A 3004|용어 — 신인성 및 서비스 품질|2022-09-02|2022-0282|전기전자정보표준과|조형민|
247|KS A 3007|제도 용어 (폐지)|2017-07-17|2017-0238|기계융합산업표준과|김민우|
248|KS A 3008|자동 제어 용어(일반)|2021-09-27|2021-0403|전기전자정보표준과|정진우|
249|KS A 3009|계 측 용 어|2021-09-03|2021-0303|기계융합산업표준과|김낙현|
